[[312   9]] , [[312  13]]
[[590 662]] , [[590 666]]
[[318 684]] , [[318 689]]
[[714 355]] , [[714 359]]
[[116 460]] , [[116 464]]
[[1004  119]] , [[1004  123]]
[[153 486]] , [[153 490]]
[[244 489]] , [[244 493]]
[[270 554]] , [[269 555]]
[[239 573]] , [[239 577]]
[[580 575]] , [[580 579]]
[[697 489]] , [[697 493]]
[[421 552]] , [[421 556]]
[[781 489]] , [[781 493]]
[[123 488]] , [[123 492]]
[[129 462]] , [[129 466]]
[[669 489]] , [[669 493]]
[[282 490]] , [[281 491]]
[[273 490]] , [[273 494]]
[[229 489]] , [[229 493]]
[[656 491]] , [[656 495]]
[[1042  123]] , [[1042  127]]
[[252 490]] , [[251 491]]
[[288 491]] , [[288 495]]
[[336 552]] , [[336 556]]
[[229 489]] , [[229 493]]
[[470 493]] , [[470 497]]
[[ 94 359]] , [[ 94 363]]
[[961 666]] , [[961 670]]
[[922 612]] , [[922 616]]
[[914 620]] , [[914 623]]
[[682 574]] , [[681 575]]
[[219 574]] , [[219 578]]
[[765 556]] , [[765 560]]
[[694 491]] , [[694 495]]
[[470 493]] , [[470 497]]
[[260 490]] , [[259 491]]
[[ 82 359]] , [[ 82 363]]
[[224 556]] , [[222 558]]
[[812 487]] , [[812 491]]
[[222 556]] , [[221 557]]
[[146 487]] , [[146 491]]
[[356 492]] , [[355 493]]
[[673 556]] , [[673 560]]
[[369 493]] , [[369 497]]
[[781 487]] , [[781 491]]
[[194 460]] , [[194 464]]
[[911 123]] , [[911 127]]
[[1061  117]] , [[1061  118]]
[[1042  123]] , [[1042  127]]
[[1042  123]] , [[1042  127]]
[[1004  123]] , [[1004  127]]
[[1063  115]] , [[1063  116]]
[[947 123]] , [[947 127]]
[[873 121]] , [[873 125]]
[[1043  122]] , [[1043  126]]
[[988 123]] , [[988 127]]
[[988 123]] , [[988 127]]
[[988 123]] , [[988 127]]
[[786 492]] , [[785 493]]
[[941 125]] , [[941 129]]
[[115 467]] , [[115 471]]
[[178 464]] , [[178 468]]
[[795 125]] , [[795 129]]
[[886 125]] , [[886 129]]
[[750 125]] , [[750 129]]
[[216 493]] , [[216 497]]
[[813 125]] , [[813 129]]
[[668 495]] , [[668 499]]
[[788 119]] , [[788 123]]
[[127 479]] , [[127 482]]
[[165 345]] , [[165 349]]
[[742 107]] , [[742 111]]
