[[1022   13]] , [[1022   17]]
[[669 489]] , [[669 493]]
[[192 572]] , [[191 573]]
[[373 573]] , [[373 577]]
[[662 575]] , [[662 579]]
[[809 489]] , [[809 493]]
[[305 556]] , [[305 560]]
[[284 490]] , [[283 491]]
[[669 489]] , [[669 493]]
[[231 487]] , [[231 491]]
[[274 491]] , [[274 495]]
[[688 491]] , [[688 495]]
[[656 491]] , [[656 495]]
[[777 489]] , [[777 493]]
[[412 493]] , [[412 497]]
[[267 456]] , [[267 460]]
[[288 491]] , [[288 495]]
[[688 491]] , [[688 495]]
[[299 554]] , [[299 558]]
[[777 489]] , [[777 493]]
[[292 554]] , [[291 555]]
[[188 460]] , [[188 461]]
[[630 670]] , [[630 674]]
[[692 642]] , [[692 643]]
[[599 635]] , [[599 636]]
[[669 575]] , [[669 579]]
[[284 574]] , [[283 575]]
[[228 558]] , [[228 562]]
[[376 515]] , [[376 519]]
[[492 525]] , [[492 529]]
[[296 491]] , [[296 495]]
[[544 452]] , [[544 456]]
[[266 556]] , [[265 557]]
[[661 491]] , [[661 495]]
[[654 556]] , [[654 560]]
[[704 487]] , [[704 491]]
[[321 554]] , [[321 558]]
[[715 556]] , [[715 560]]
[[316 554]] , [[316 558]]
[[826 487]] , [[826 491]]
[[148 462]] , [[148 466]]
[[978 123]] , [[978 127]]
[[909 121]] , [[909 122]]
[[1061  117]] , [[1061  118]]
[[  7 310]] , [[  7 314]]
[[119 359]] , [[119 363]]
[[ 64 361]] , [[ 64 365]]
[[891 121]] , [[891 125]]
[[997 123]] , [[997 127]]
[[890 123]] , [[890 127]]
[[784 123]] , [[784 127]]
[[  8 313]] , [[  8 317]]
[[1021  123]] , [[1021  127]]
[[1021  123]] , [[1021  127]]
[[1038  122]] , [[1038  126]]
[[685 493]] , [[685 497]]
[[731 122]] , [[731 126]]
[[ 82 308]] , [[ 82 312]]
[[234 491]] , [[234 492]]
[[ 90 485]] , [[ 90 489]]
[[870 124]] , [[869 125]]
[[888 125]] , [[888 129]]
[[996 127]] , [[996 131]]
[[858 125]] , [[858 129]]
[[693 495]] , [[693 499]]
[[873 125]] , [[873 129]]
[[296 497]] , [[296 501]]
[[934 119]] , [[934 123]]
[[204 483]] , [[204 487]]
[[ 61 347]] , [[ 61 351]]
[[904 107]] , [[904 111]]
