[[353  15]] , [[354  14]]
[[   0 1036]] , [[   0 1065]]
[[342 565]] , [[341 566]]
[[342 565]] , [[341 566]]
[[614 747]] , [[615 746]]
[[ 18 490]] , [[ 18 494]]
[[835 606]] , [[836 605]]
[[371 598]] , [[372 597]]
[[647 608]] , [[648 607]]
[[663 918]] , [[664 917]]
[[715 762]] , [[716 761]]
[[465 596]] , [[466 595]]
[[609 746]] , [[609 751]]
[[673 916]] , [[674 915]]
[[673 916]] , [[674 915]]
[[683 912]] , [[684 911]]
[[377 566]] , [[376 567]]
[[718 620]] , [[719 619]]
[[683 914]] , [[684 913]]
[[681 914]] , [[682 913]]
[[649 606]] , [[650 605]]
[[ 931 1052]] , [[ 932 1051]]
[[469 920]] , [[470 919]]
[[  12 1014]] , [[  12 1015]]
[[686 914]] , [[687 913]]
[[  71 1160]] , [[  71 1165]]
[[  66 1186]] , [[  66 1217]]
[[ 156 1364]] , [[ 156 1368]]
[[  75 1202]] , [[  75 1206]]
[[  66 1226]] , [[  66 1235]]
[[  74 1200]] , [[  74 1204]]
[[  75 1200]] , [[  75 1205]]
[[  66 1226]] , [[  66 1235]]
[[  66 1188]] , [[  66 1213]]
[[594 748]] , [[594 753]]
[[  57 1060]] , [[  58 1059]]
[[  33 1066]] , [[  34 1065]]
[[  57 1084]] , [[  58 1083]]
[[ 939 1055]] , [[ 940 1054]]
[[ 117 1200]] , [[ 116 1201]]
[[ 340 1018]] , [[ 339 1019]]
[[912 613]] , [[912 617]]
[[ 939 1054]] , [[ 940 1053]]
[[ 939 1054]] , [[ 940 1053]]
[[  66 1188]] , [[  66 1193]]
[[  72 1278]] , [[  72 1283]]
[[384 564]] , [[384 565]]
[[  72 1186]] , [[  72 1193]]
[[  72 1186]] , [[  72 1193]]
[[  66 1186]] , [[  66 1207]]
[[ 288 1344]] , [[ 288 1349]]
[[ 662 1404]] , [[ 662 1409]]
[[ 732 1469]] , [[ 732 1473]]
[[ 748 1429]] , [[ 748 1433]]
[[ 620 1548]] , [[ 620 1553]]
[[ 620 1548]] , [[ 620 1553]]
[[ 748 1429]] , [[ 748 1433]]
[[ 478 1424]] , [[ 478 1428]]
[[  77 1221]] , [[  77 1223]]
[[   0 1022]] , [[   0 1139]]
[[  39 1074]] , [[  40 1073]]
[[  75 1225]] , [[  75 1233]]
[[  67 1248]] , [[  67 1253]]
[[ 799 1431]] , [[ 799 1435]]
[[ 539 1368]] , [[ 539 1372]]
[[ 652 1540]] , [[ 652 1545]]
[[ 620 1550]] , [[ 620 1555]]
[[  80 1240]] , [[  80 1245]]
[[ 223 1290]] , [[ 222 1291]]
